Date,HomeTeam,AwayTeam,B365H,B365D,B365A,B365>2.5,B365<2.5,AHh,B365AHH,B365AHA,HTHG,HTAG,HTR,HF,AF,HY,AY,HR,AR,Time,FTR,Season
2022-08-13,Milan,Udinese,1.44,4.75,7.0,1.72,2.1,-1.25,1.94,1.96,2,2,D,16,13,1,4,0,0,17:30,H,2022/2023
2022-08-13,Sampdoria,Atalanta,4.33,3.9,1.75,1.72,2.1,0.75,1.9,2.0,0,1,A,13,21,4,6,0,0,17:30,A,2022/2023
2022-08-13,Lecce,Inter,10.0,5.75,1.28,1.57,2.37,1.5,2.01,1.89,0,1,A,21,19,4,2,0,0,19:45,A,2022/2023
2022-08-13,Monza,Torino,2.6,3.3,2.75,2.1,1.72,0.0,1.84,2.06,0,1,A,6,17,1,2,0,0,19:45,A,2022/2023
2022-08-14,Fiorentina,Cremonese,1.36,5.0,8.5,1.66,2.2,-1.25,1.85,2.05,2,1,H,10,19,0,3,0,1,17:30,H,2022/2023
2022-08-14,Lazio,Bologna,1.57,4.33,5.75,1.66,2.2,-1.0,2.0,1.9,0,1,A,11,18,2,6,1,1,17:30,H,2022/2023
2022-08-14,Salernitana,Roma,6.5,4.75,1.44,1.72,2.1,1.0,2.17,1.75,0,1,A,18,9,3,2,0,0,19:45,A,2022/2023
2022-08-14,Spezia,Empoli,2.45,3.3,2.9,1.94,1.96,0.0,1.8,2.1,1,0,H,15,8,2,1,0,0,19:45,H,2022/2023
2022-08-15,Verona,Napoli,3.5,3.5,2.05,1.8,2.0,0.25,2.02,1.77,1,2,A,15,6,2,2,0,0,17:30,A,2022/2023
2022-08-15,Juventus,Sassuolo,1.44,4.75,7.0,1.53,2.5,-1.25,1.99,1.91,2,0,H,7,5,1,3,0,0,19:45,H,2022/2023
2022-08-20,Torino,Lazio,3.0,3.5,2.3,1.92,1.98,0.25,1.82,2.08,0,0,D,11,12,0,5,0,0,17:30,D,2022/2023
2022-08-20,Udinese,Salernitana,1.75,3.8,4.5,1.8,2.0,-0.75,2.0,1.9,0,0,D,9,12,2,4,1,0,17:30,D,2022/2023
2022-08-20,Inter,Spezia,1.16,8.0,15.0,1.3,3.5,-2.25,2.01,1.89,1,0,H,11,7,0,0,0,0,19:45,H,2022/2023
2022-08-20,Sassuolo,Lecce,1.75,4.0,4.2,1.61,2.3,-0.75,2.03,1.87,1,0,H,14,12,5,1,0,0,19:45,H,2022/2023
2022-08-21,Empoli,Fiorentina,3.75,3.8,1.9,1.66,2.2,0.5,1.97,1.93,0,0,D,13,11,1,3,1,0,17:30,D,2022/2023
2022-08-21,Napoli,Monza,1.33,5.5,8.0,1.5,2.62,-1.5,1.96,1.94,2,0,H,11,13,2,1,0,0,17:30,H,2022/2023
2022-08-21,Atalanta,Milan,2.75,3.5,2.5,1.72,2.1,0.25,1.7,2.1,1,0,H,15,6,4,3,0,0,19:45,D,2022/2023
2022-08-21,Bologna,Verona,2.15,3.5,3.3,1.85,2.05,-0.25,1.9,2.0,1,1,D,10,14,3,3,1,0,19:45,D,2022/2023
2022-08-22,Roma,Cremonese,1.25,6.5,11.0,1.61,2.3,-1.75,1.99,1.91,0,0,D,7,14,0,3,0,0,17:30,H,2022/2023
2022-08-22,Sampdoria,Juventus,5.75,4.0,1.6,1.89,2.01,1.0,1.83,2.07,0,0,D,8,14,3,2,0,0,19:45,D,2022/2023
2022-08-26,Monza,Udinese,3.1,3.4,2.3,1.88,2.02,0.25,1.91,1.99,1,1,D,16,10,3,2,0,0,17:30,A,2022/2023
2022-08-26,Lazio,Inter,4.0,3.8,1.83,1.66,2.2,0.5,2.0,1.9,1,0,H,5,12,2,1,0,0,19:45,H,2022/2023
2022-08-27,Cremonese,Torino,3.2,3.4,2.25,2.03,1.87,0.25,1.94,1.96,0,1,A,9,21,0,3,0,0,17:30,A,2022/2023
2022-08-27,Juventus,Roma,2.3,3.3,3.1,2.1,1.72,-0.25,2.05,1.85,1,0,H,16,7,2,2,0,0,17:30,D,2022/2023
2022-08-27,Milan,Bologna,1.33,5.5,8.5,1.61,2.3,-1.5,2.01,1.89,1,0,H,13,9,2,1,0,0,19:45,H,2022/2023
2022-08-27,Spezia,Sassuolo,3.0,3.6,2.25,1.61,2.3,0.25,1.9,2.0,2,1,H,17,10,2,1,1,0,19:45,D,2022/2023
2022-08-28,Salernitana,Sampdoria,2.45,3.2,3.0,2.03,1.87,-0.25,2.11,1.79,2,0,H,19,14,2,2,0,0,17:30,H,2022/2023
2022-08-28,Verona,Atalanta,4.2,4.0,1.75,1.66,2.2,0.75,1.9,2.0,0,0,D,15,7,3,3,0,0,17:30,A,2022/2023
2022-08-28,Fiorentina,Napoli,3.25,3.6,2.15,1.66,2.2,0.25,2.05,1.85,0,0,D,12,14,2,3,0,0,19:45,D,2022/2023
2022-08-28,Lecce,Empoli,2.3,3.5,3.0,1.8,2.0,-0.25,2.06,1.84,1,1,D,10,5,1,2,0,0,19:45,D,2022/2023
