Rank,Team,Goals per Match,Total Goals Scored,Matches,Country,Penalties Conceded,Penalty Goals Conceded,Clean Sheets,Accurate Crosses per Match,Cross Success (%),Saves per Match,Total Saves,Interceptions per Match,Total Interceptions,Shots on Target per Match,Shot Conversion Rate (%),played,wins,draws,losses,scoresStr,goalConDiff,pts,Accurate Long Balls per Match,Successful Long Balls (%),Red Cards,Yellow Cards,Possession (%),xg,xgConceded,xPoints,xgDiff,xgConcededDiff,Expected Goals,Goals,Possession Won Final 3rd per Match,Total Possessions Won,Accurate Passes per Match,Pass Success (%),Fouls per Match,Big Chances,FotMob Team Rating,Successful Tackles per Match,Tackle Success (%),Penalties Won,Conversion Rate (%),Big Chances Missed,Corners Taken,Expected Goals Conceded,Goals Conceded,Touches in Opposition Box,Clearances per Match,Total Clearances
3,Atalanta,1.9,72.0,38,ITA,9.0,6.0,15.0,5.9,31.7,2.7,103.0,8.9,340.0,5.4,13.2,19,13,2,4,42-16,26,41,23.1,45.5,1.0,73.0,51.2,58.73620027303696,41.8656000494957,63.09756587858675,13.263799726963043,0.1343999505043029,58.7,72.0,5.1,944.0,393.2,82.1,12.8,100.0,6.99,9.7,60.2,5.0,100.0,59.0,210.0,41.9,42.0,968.0,15.2,576.0
7,Bologna,1.4,54.0,38,ITA,7.0,3.0,17.0,3.0,22.5,2.5,96.0,6.8,258.0,4.3,11.3,19,12,5,2,33-12,21,41,23.6,50.7,2.0,83.0,58.4,48.47629982233048,37.40089985728264,59.74925079079421,5.523700177669525,-5.400899857282639,48.7,54.0,3.6,773.0,478.6,86.5,12.1,77.0,6.94,10.1,60.8,5.0,80.0,46.0,165.0,37.4,32.0,761.0,16.7,634.0
13,Cagliari,1.1,42.0,38,ITA,5.0,4.0,5.0,5.9,26.2,2.5,95.0,7.0,265.0,3.6,9.4,19,6,7,6,28-32,-4,25,25.6,43.0,5.0,72.0,41.7,43.52019964158535,55.27180016040802,43.60156316364622,-1.52019964158535,12.72819983959198,43.5,42.0,4.0,740.0,256.1,75.7,12.2,67.0,6.6,8.3,58.3,6.0,66.7,42.0,175.0,55.3,68.0,715.0,19.8,754.0
20,Empoli,0.8,29.0,38,ITA,8.0,6.0,9.0,4.1,23.2,3.5,133.0,6.9,263.0,3.1,6.9,19,5,5,9,15-23,-8,20,20.7,38.6,1.0,87.0,43.7,36.750899866223335,54.34250038862229,40.06697063232704,-7.750899866223335,-0.3425003886222839,36.8,29.0,4.1,665.0,277.9,77.8,13.8,50.0,6.6,9.9,61.2,5.0,100.0,32.0,176.0,54.3,54.0,685.0,20.8,792.0
5,Fiorentina,1.6,61.0,38,ITA,9.0,8.0,8.0,4.9,24.9,2.7,103.0,6.2,236.0,4.8,11.7,19,10,5,4,37-22,15,35,33.3,53.4,,,57.7,52.93030020594597,48.79529997706413,56.31730512878656,8.069699794054031,-2.7952999770641327,52.9,61.0,5.2,817.0,400.0,83.4,12.1,81.0,6.88,8.4,56.7,8.0,50.0,50.0,199.0,48.8,46.0,969.0,12.8,486.0
11,Frosinone,1.2,44.0,38,ITA,8.0,5.0,7.0,3.4,25.0,3.1,116.0,6.3,241.0,4.2,9.4,19,7,4,8,28-32,-4,25,18.0,36.9,2.0,66.0,49.8,46.0496002137661,59.49279960989952,44.08905366552273,-2.049600213766098,9.50720039010048,46.0,44.0,4.6,858.0,335.9,79.8,10.2,71.0,6.67,8.5,59.1,10.0,80.0,45.0,213.0,59.5,69.0,756.0,19.7,748.0
10,Genoa,1.2,45.0,38,ITA,4.0,3.0,9.0,4.7,29.2,2.5,95.0,8.7,332.0,3.4,11.2,19,8,6,5,27-22,5,30,22.4,42.2,3.0,73.0,44.1,36.34060011804104,43.4279003739357,45.626036288425006,8.659399881958961,1.5720996260643003,36.3,45.0,3.6,715.0,294.9,78.3,11.8,55.0,6.79,9.3,56.3,6.0,83.3,32.0,142.0,43.4,45.0,604.0,20.3,770.0
1,Inter,2.3,89.0,38,ITA,4.0,2.0,21.0,5.7,26.7,2.4,92.0,7.4,280.0,5.6,15.0,19,14,4,1,44-11,33,46,29.4,61.6,1.0,46.0,57.2,79.1525998711586,31.414199888706207,81.77090385299826,9.8474001288414,-9.414199888706207,79.2,89.0,4.0,733.0,479.4,87.8,10.7,121.0,7.13,8.4,59.4,14.0,92.9,61.0,228.0,31.6,22.0,1072.0,13.7,520.0
7,Juventus,1.4,54.0,38,ITA,3.0,2.0,17.0,5.4,29.1,2.3,88.0,6.7,253.0,4.1,10.1,19,11,7,1,26-11,15,40,26.7,54.8,2.0,85.0,48.4,55.87259957194328,30.375200148671865,70.23540320373287,-1.872599571943283,0.6247998513281345,55.9,54.0,3.5,710.0,363.5,83.9,12.6,86.0,6.96,9.7,64.0,5.0,60.0,63.0,193.0,30.4,31.0,920.0,17.9,682.0
9,Lazio,1.3,49.0,38,ITA,3.0,2.0,13.0,3.3,20.0,2.9,109.0,7.8,295.0,3.7,11.1,19,10,4,5,23-14,9,34,24.7,52.0,5.0,97.0,53.4,47.360100358724594,43.23259982466698,55.57753538540545,1.639899641275406,-4.232599824666977,47.4,49.0,3.8,854.0,435.8,85.0,12.4,71.0,6.83,9.2,59.9,4.0,100.0,41.0,197.0,43.2,39.0,813.0,15.7,596.0
