Round,Round Name,HomeTeam,AwayTeam,UTC Time,Finished,Started,Cancelled,Awarded,Match Status,FTHG,FTAG
1,1,Empoli,Verona,2023-08-19T16:30:00Z,True,True,False,False,Full-Time,0,1
1,1,Frosinone,Napoli,2023-08-19T16:30:00Z,True,True,False,False,Full-Time,1,3
1,1,Genoa,Fiorentina,2023-08-19T18:45:00Z,True,True,False,False,Full-Time,1,4
1,1,Inter,Monza,2023-08-19T18:45:00Z,True,True,False,False,Full-Time,2,0
1,1,Roma,Salernitana,2023-08-20T16:30:00Z,True,True,False,False,Full-Time,2,2
1,1,Sassuolo,Atalanta,2023-08-20T16:30:00Z,True,True,False,False,Full-Time,0,2
1,1,Lecce,Lazio,2023-08-20T18:45:00Z,True,True,False,False,Full-Time,2,1
1,1,Udinese,Juventus,2023-08-20T18:45:00Z,True,True,False,False,Full-Time,0,3
1,1,Torino,Cagliari,2023-08-21T16:30:00Z,True,True,False,False,Full-Time,0,0
1,1,Bologna,Milan,2023-08-21T18:45:00Z,True,True,False,False,Full-Time,0,2
2,2,Frosinone,Atalanta,2023-08-26T16:30:00Z,True,True,False,False,Full-Time,2,1
2,2,Monza,Empoli,2023-08-26T16:30:00Z,True,True,False,False,Full-Time,2,0
2,2,Milan,Torino,2023-08-26T18:45:00Z,True,True,False,False,Full-Time,4,1
2,2,Verona,Roma,2023-08-26T18:45:00Z,True,True,False,False,Full-Time,2,1
2,2,Juventus,Bologna,2023-08-27T16:30:00Z,True,True,False,False,Full-Time,1,1
2,2,Fiorentina,Lecce,2023-08-27T16:35:00Z,True,True,False,False,Full-Time,2,2
2,2,Lazio,Genoa,2023-08-27T18:45:00Z,True,True,False,False,Full-Time,0,1
2,2,Napoli,Sassuolo,2023-08-27T18:45:00Z,True,True,False,False,Full-Time,2,0
2,2,Salernitana,Udinese,2023-08-28T16:30:00Z,True,True,False,False,Full-Time,1,1
2,2,Cagliari,Inter,2023-08-28T18:45:00Z,True,True,False,False,Full-Time,0,2
3,3,Sassuolo,Verona,2023-09-01T16:30:00Z,True,True,False,False,Full-Time,3,1
3,3,Roma,Milan,2023-09-01T18:45:00Z,True,True,False,False,Full-Time,1,2
3,3,Bologna,Cagliari,2023-09-02T16:30:00Z,True,True,False,False,Full-Time,2,1
3,3,Udinese,Frosinone,2023-09-02T16:30:00Z,True,True,False,False,Full-Time,0,0
3,3,Atalanta,Monza,2023-09-02T18:45:00Z,True,True,False,False,Full-Time,3,0
3,3,Napoli,Lazio,2023-09-02T18:45:00Z,True,True,False,False,Full-Time,1,2
3,3,Inter,Fiorentina,2023-09-03T16:30:00Z,True,True,False,False,Full-Time,4,0
3,3,Torino,Genoa,2023-09-03T16:30:00Z,True,True,False,False,Full-Time,1,0
3,3,Empoli,Juventus,2023-09-03T18:45:00Z,True,True,False,False,Full-Time,0,2
3,3,Lecce,Salernitana,2023-09-03T18:45:00Z,True,True,False,False,Full-Time,2,0
4,4,Juventus,Lazio,2023-09-16T13:00:00Z,True,True,False,False,Full-Time,3,1
4,4,Inter,Milan,2023-09-16T16:00:00Z,True,True,False,False,Full-Time,5,1
4,4,Genoa,Napoli,2023-09-16T18:45:00Z,True,True,False,False,Full-Time,2,2
4,4,Cagliari,Udinese,2023-09-17T10:30:00Z,True,True,False,False,Full-Time,0,0
4,4,Frosinone,Sassuolo,2023-09-17T13:00:00Z,True,True,False,False,Full-Time,4,2
4,4,Monza,Lecce,2023-09-17T13:00:00Z,True,True,False,False,Full-Time,1,1
4,4,Fiorentina,Atalanta,2023-09-17T16:00:00Z,True,True,False,False,Full-Time,3,2
4,4,Roma,Empoli,2023-09-17T18:45:00Z,True,True,False,False,Full-Time,7,0
4,4,Salernitana,Torino,2023-09-18T16:30:00Z,True,True,False,False,Full-Time,0,3
4,4,Verona,Bologna,2023-09-18T18:45:00Z,True,True,False,False,Full-Time,0,0
5,5,Salernitana,Frosinone,2023-09-22T16:30:00Z,True,True,False,False,Full-Time,1,1
5,5,Lecce,Genoa,2023-09-22T18:45:00Z,True,True,False,False,Full-Time,1,0
5,5,Milan,Verona,2023-09-23T13:25:00Z,True,True,False,False,Full-Time,1,0
5,5,Sassuolo,Juventus,2023-09-23T16:00:00Z,True,True,False,False,Full-Time,4,2
5,5,Lazio,Monza,2023-09-23T18:45:00Z,True,True,False,False,Full-Time,1,1
5,5,Empoli,Inter,2023-09-24T10:30:00Z,True,True,False,False,Full-Time,0,1
5,5,Atalanta,Cagliari,2023-09-24T13:00:00Z,True,True,False,False,Full-Time,2,0
5,5,Udinese,Fiorentina,2023-09-24T13:00:00Z,True,True,False,False,Full-Time,0,2
5,5,Bologna,Napoli,2023-09-24T16:00:00Z,True,True,False,False,Full-Time,0,0
5,5,Torino,Roma,2023-09-24T18:45:00Z,True,True,False,False,Full-Time,1,1
6,6,Juventus,Lecce,2023-09-26T18:45:00Z,True,True,False,False,Full-Time,1,0
6,6,Cagliari,Milan,2023-09-27T16:30:00Z,True,True,False,False,Full-Time,1,3
6,6,Empoli,Salernitana,2023-09-27T16:30:00Z,True,True,False,False,Full-Time,1,0
6,6,Verona,Atalanta,2023-09-27T16:30:00Z,True,True,False,False,Full-Time,0,1
6,6,Inter,Sassuolo,2023-09-27T18:45:00Z,True,True,False,False,Full-Time,1,2
6,6,Lazio,Torino,2023-09-27T18:45:00Z,True,True,False,False,Full-Time,2,0
6,6,Napoli,Udinese,2023-09-27T18:45:00Z,True,True,False,False,Full-Time,4,1
6,6,Frosinone,Fiorentina,2023-09-28T16:30:00Z,True,True,False,False,Full-Time,1,1
6,6,Monza,Bologna,2023-09-28T16:30:00Z,True,True,False,False,Full-Time,0,0
6,6,Genoa,Roma,2023-09-28T18:45:00Z,True,True,False,False,Full-Time,4,1
7,7,Lecce,Napoli,2023-09-30T13:00:00Z,True,True,False,False,Full-Time,0,4
7,7,Milan,Lazio,2023-09-30T16:00:00Z,True,True,False,False,Full-Time,2,0
7,7,Salernitana,Inter,2023-09-30T18:45:00Z,True,True,False,False,Full-Time,0,4
7,7,Bologna,Empoli,2023-10-01T10:30:00Z,True,True,False,False,Full-Time,3,0
7,7,Udinese,Genoa,2023-10-01T13:00:00Z,True,True,False,False,Full-Time,2,2
7,7,Atalanta,Juventus,2023-10-01T16:00:00Z,True,True,False,False,Full-Time,0,0
7,7,Roma,Frosinone,2023-10-01T18:45:00Z,True,True,False,False,Full-Time,2,0
7,7,Sassuolo,Monza,2023-10-02T16:30:00Z,True,True,False,False,Full-Time,0,1
7,7,Torino,Verona,2023-10-02T16:30:00Z,True,True,False,False,Full-Time,0,0
7,7,Fiorentina,Cagliari,2023-10-02T18:45:00Z,True,True,False,False,Full-Time,3,0
8,8,Empoli,Udinese,2023-10-06T16:30:00Z,True,True,False,False,Full-Time,0,0
8,8,Lecce,Sassuolo,2023-10-06T18:45:00Z,True,True,False,False,Full-Time,1,1
8,8,Inter,Bologna,2023-10-07T13:00:00Z,True,True,False,False,Full-Time,2,2
8,8,Juventus,Torino,2023-10-07T16:00:00Z,True,True,False,False,Full-Time,2,0
8,8,Genoa,Milan,2023-10-07T18:45:00Z,True,True,False,False,Full-Time,0,1
8,8,Monza,Salernitana,2023-10-08T10:30:00Z,True,True,False,False,Full-Time,3,0
